,country,year,sex,age,generation,incomelevel,depression,alcohol
18537,77,2009,1,2,0,2,3.109989,0.86686
4005,16,1998,1,1,2,0,4.318484,2.507668
11706,47,2000,1,4,5,0,3.857618,1.445018
18922,79,2011,0,3,3,2,3.760554,0.772363
20210,85,1996,0,4,5,0,3.320422,0.999393
19334,81,2001,0,1,2,1,4.497791,5.249041
20315,85,2006,1,0,4,0,3.484572,1.032685
1338,4,2010,1,3,3,0,4.83422,1.497867
17587,74,1996,1,1,2,2,3.803386,1.710913
9584,38,1992,1,4,5,0,4.194804,1.743069
12815,51,2004,0,4,5,2,2.789094,1.690463
14314,59,2013,0,0,4,2,2.657663,1.408374
18623,77,2016,0,5,5,2,3.085204,0.901656
244,1,1991,0,4,5,0,2.573487,2.091997
9377,37,2001,0,1,2,0,3.494552,1.17961
13046,53,2007,1,1,2,2,2.587538,1.806875
10959,43,1994,0,4,5,2,3.458693,2.358027
11285,45,1999,0,3,4,0,3.542158,0.671053
13429,55,1992,0,1,0,0,4.170798,1.683077
10464,40,2014,0,2,2,0,3.456543,0.46645
18832,78,2007,1,0,4,0,3.333834,1.689327
8897,34,2014,1,4,0,2,3.265867,2.683841
12625,50,2015,0,4,0,2,3.495053,1.299377
19373,81,2005,0,3,4,1,4.409427,4.953873
850,3,1994,1,5,1,2,2.612934,2.166415
9110,36,2002,0,3,4,0,2.914889,2.329651
3342,14,1990,1,4,1,2,2.769279,1.874531
18164,76,2001,1,4,5,0,4.010965,1.438858
11683,47,1997,1,3,4,0,3.97116,1.44018
5759,22,2013,0,1,4,0,2.695241,2.133916
6681,26,2004,1,3,4,0,4.303747,4.951529
19404,81,2009,1,4,5,1,4.200979,4.984624
5390,21,2008,1,2,0,0,3.296471,1.094935
10910,42,2015,1,0,4,0,3.262431,0.57671
3846,15,2009,1,2,0,0,3.918091,1.586395
10734,42,1999,0,3,4,0,2.993176,0.568627
19923,84,1996,1,1,2,0,4.662902,2.033987
17988,75,2007,0,0,4,0,4.55514,1.75626
6622,25,2012,0,4,0,1,3.026992,2.738557
18243,76,2008,1,2,0,0,3.826025,1.40029
